X.AUTHID,anger_doc_sum,anticipation_doc_sum,arousal_doc_sum,disgust_doc_sum,dominance_doc_sum,fear_doc_sum,joy_doc_sum,neg_doc_sum,num_text_words,pos_doc_sum,sad_doc_sum,site.content,spec_domain,surp_doc_sum,trust_doc_sum,valence_doc_sum,bin_label_scr,rank_label_scr,cSIN_tag,cEXC_tag,cCOM_tag,cRUG_tag,cSOP_tag,cSIN_scl_scr,cEXC_scl_scr,cCOM_scl_scr,cRUG_scl_scr,cSOP_scl_scr,content_length,stopword_count,stopword_ratio,flesch_read_ease,cSIN_label_fin,cEXC_label_fin,cCOM_label_fin,cRUG_label_fin,cSOP_label_fin,cSIN_fin_rank,cEXC_fin_rank,cCOM_fin_rank,cRUG_fin_rank,cSOP_fin_rank
b'http://searsholdings.com/press-releases/pr/1745',0,22,46.162,0,59.698,4,17,4,254,33,1,"b'In CGW059, Sears Names Top 2000 Suppliers as \'Partners In Progress\', issued Wednesday, April 11, the name ""Warren Distribution"" was omitted from the list entitled ""2000 Partners in Progress"" as incorrectly transmitted by PR Newswire. Complete, corrected release follows: Sears Names Top 2000 Suppliers as \'Partners In Progress\' HOFFMAN ESTATES, Ill., April 11 - Sears, Roebuck and Co. (NYSE: S) honored its top suppliers at the company\'s annual ""Partners In Progress"" event held at Sears headquarters yesterday. Sears bestowed the award this year on fewer than 130 suppliers. More than 10,000 suppliers competed for this award. ""Sears suppliers are vital to the success of our business and our ability to make Sears the destination of choice for our customers,"" said Sears Chairman and CEO Alan J. Lacy. ""Of the thousands of suppliers with whom we do business, our Partners in Progress award recipients have demonstrated the highest level of commitment, quality and leadership - attributes we strive to achieve in everything we do at Sears. Through their professionalism and dedication, these suppliers have earned Sears recognition."" Begun almost 20 years ago, the Partners In Progress program recognizes suppliers that make significant contributions to the growth of Sears businesses and the creation of new ways to better serve Sears customers. The winners were selected from nominations submitted by Sears store support organization and include awards for various achievements. In addition to being named Partners in Progress, the following suppliers were recognized for their e contributions to Sears business success: Awards for Business Group Suppliers of the Year - winners e the highest achievement in partnership with Sears: Awards for Quality - represent the highest quality in merchandise or service: Awards for Innovation - contributed the most meaningful product development or innovation: SOURCE: Sears, Roebuck & Co. Contact: Paula S. Davis of Sears, Roebuck & Co., 847-286-4965 Website: '",searsholdings,8,13,66.049,0.2,-0.65,y,n,n,n,n,0.0096555921,-0.0626328896,-0.0340734987,-0.064527075,-0.018571328,2012,103,5.1192842942,43.87,n,y,y,n,y,5,1,2,3,4
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229547&c=254471&p=irol-newsArticle_Print',0,6,41.659,0,59.81,0,2,2,255,25,0,"b', ; -; (NYSE: FTI) announced today that it has received a subsea equipment order from ; (;) for the Who Dat field. The order has an estimated value of ; in revenue. ;The project is located in the Gulf of Me Mississippi Canyon Block 503 in water depths of appro 3200 feet (975 meters). ;\' scope of supply includes ;, a ;, ; and a ;. The equipment is scheduledfor delivery in 2013.;""; is pleased to have been chosen by ; to provide subsea systems for its continued development of the Who Dat field,"" said ;, ;\' Senior Vice President, Subsea Technologies. ""We welcome the opportunity to continue supporting ; with its ; developments."";This release contains ""forward-looking statements"" as defined in the Private Securities Litigation Reform Act of 1995. The word ""estimated"" and similar e are intended to identify forward-looking statements, which are generally not historical in nature. Such forward-looking statements involve significant risks, uncertainties and assumptions that could cause actual results to differ materially from our historical e and our present e or projections. Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to successfully manufacture and deliver, and ;\'s acceptance of, the subsea systems ordered. For additional information regarding known material factors that could cause actual results to differ fromprojected results, please see the Company\'s Annual Report on Form 10-K for the year ended ;, as well as its other filings with the ;. The Company cautions you not to place undue reliance on any forward-looking statements, which speak only as of the date hereof. The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise. ;(Logo: ;);SOURCE ;News Provided by Acquire Media'",technipfmc,1,8,62.708,0.2,-0.5,y,n,n,n,n,0.0066786028,-0.0484144369,-0.0145746867,-0.0601116636,-0.0178922786,1946,119,6.1151079137,21.67,n,n,y,y,y,4,3,5,2,1
b'https://www.citrix.com/blogs/2017/06/07/introducing-sharefile-cloud-storage-for-citrix-service-providers/',1,10,45.054,1,61.334,5,7,2,255,26,1,"b'At the end of 2015, Citrix introduced ShareFile for Citrix Service Providers (CSPs) with the availability of multi-tenancy. Since the launch, ShareFile has become a key driver in the rapid growth of the CSP program. Our partners have empowered their customers to overcome real business challenges with ShareFile by adding a layer of security to their documents, enhancing worker productivity, and enabling employee mobility. With this simple, powerful value proposition, CSPs are using ShareFile as the catalyst to start their customers on their cloud journey.;When customers see the value that moving to the cloud provides, their journey usually progresses to other cloud solutions, including hosted desktops delivered through XenApp and XenDesktop. As the only Enterprise File Sync-and-Share (EFSS) solution optimized for a virtualized environment, ShareFile serves as the perfect complement to a secure digital workspace delivered in combination with XenApp and XenDesktop.;As CSPs manage their customers journey to the cloud, some provided feedback that they would prefer to deliver ShareFile through Citrix-managed cloud storage instead of their own data center. Well, today we are e to announce the upcoming;!;The addition of cloud storage will give CSPs the fle to store their customers ShareFile documents in a Citrix-managed Cloud Storage Zone or their own data center. Fle storage options will enable CSPs to manage their ShareFile business in the simplest, and most profitable, way for them.;The Citrix team has developed resources to help CSPs jumpstart their ShareFile business:;.For more details, contact your Citrix Partner Account Manager, your preferred distributor, or send an e-mail to ;.; Weve seen increasing traction for NetScaler in customer deployments as they migrate to the cloud. One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; NetScaler Management and Analytics from Citrix allows administrators to easily view, automate, and manage all their application infrastructure, as well ;Dont worry, you can unsubscribe at anytime.; ;'",citrix,2,15,71.895,0.2,-0.05,y,n,n,n,n,0.0123643225,-0.0279232222,-0.0063301545,-0.0620234403,-0.0054568383,2183,125,5.7260650481,22.11,n,y,y,n,y,5,2,3,4,1
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229544&c=254471&p=irol-newsArticle_Print',0,7,42.898,0,62.454,0,4,2,256,25,0,"b', ; - ; (NYSE: FTI) announced today that it has received an order from ; (NYSE: STO) for subsea equipment for the ;. The order has an estimated value of ; in revenue.;\' scope of supply includes subsea trees, wellheads, a manifold, control systems and other associated equipment. Smorbukk South is part of the Asgard development in the ;, and the award is the third order for ; from the fast-track portfolio agreement announced in 2012. The equipment is scheduled for delivery in 2014.;""; has been providing subsea equipment for the Asgard field since 1996,"" said ;, ;\' Senior Vice President, Subsea Technologies. ""We are pleased to provide equipment and systems that will help ; further develop this field."";This release contains ""forward-looking statements"" as defined in the Private Securities Litigation Reform Act of 1995. The word ""estimated"" and similar e are intended to identify forward-looking statements, which are generally not historical in nature. Such forward-looking statements involve significant risks, uncertainties and assumptions that could cause actual results to differ materially from our historical e and our present e or projections. Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to successfully manufacture and deliver, and ;\'s acceptance of, the subsea systems ordered. For additional information regarding known material factors that could cause actual results to differ from projectedresults, please see the Company\'s Annual Report on Form 10-K for the year ended ;, as well as its other filings with the ;. The Company cautions you not to place undue reliance on any forward-looking statements, which speak only as of the date hereof. The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise. ;(Logo: ;);SOURCE ;News Provided by Acquire Media'",technipfmc,2,9,65.97,0.2,-0.5,y,n,n,n,n,0.0024839528,-0.051034114,-0.0148152611,-0.0577044522,-0.0154751784,2022,122,6.0336300692,24,n,n,y,y,y,4,3,5,2,1
b'http://performance.ford.com/series/ford-gt/news/articles/wec/2017/09/cota-preview.html',7,16,55.671,3,66.88,6,7,11,258,14,6,"b' Circuit of the Americas Mazda Raceway Laguna Seca Road Atlanta Ford World Endurance Championship battle heads to the U.S. this weekend, to the Circuit of the Americas (COTA) in Austin, Te. The Ford Chip Ganassi Racing team put up a strong fight at the previous round in Me, despite the city circuit not playing to the strengths of the Ford GT, which favours long corners and straights on which to its legs. The Circuit of the Americas is the only circuit on the WEC calendar to run in an anti-clockwise direction. The circuit fast, flowing corners will suit the Ford GTs so the team will be pushing to take as many points as possible from this event. leaders, Andy Priaulx and Harry Tincknell share the #67 Ford GT and they will be pushing hard to build on their lead at the top of the table. They finished fourth at COTA last year. is a track that I love, Priaulx said. were in with a chance of a podium last year and now we have a lot more e behind us, which will help us with things like tyre management. I feeling very positive at the moment as we are heading into a run of tracks that are good for us: COTA, Fuji and Shanghai. Let hope we can start off a strong run at COTA. The biggest challenge facing the drivers at COTA is e to be the heat. Last year the race began in the late afternoon and the heat was almost overwhelming. Unfortunately for Stefan M (GER), he had an air-conditioning fault in the first hour, which required him to pit for immediate repairs. M team mate Olivier Pla (FRA) suffered a different type of problem when he was hit by prototype race cars on two occasions. going to COTA feeling optimistic, M said. really like the circuit and I think it will suit us this year. Tyre selection is the key thing at COTA, depending on the track temperatures so we will have to see how e the heat is this time. It a long track with lots of fast corners and that is where the Ford GT is very strong. I think we can get a good result there. The 6 Hours of COTA will get underway this, Sept. 16, at:00 local time (19:00 CET).'",ford,6,12,73.705,0.2,-0.45,n,n,n,n,y,-0.0112850912,-0.0236373805,-0.041365813,-0.0492393781,7.49217E-05,2043,179,8.7616250612,70.47,y,n,y,y,n,2,5,3,1,4
b'http://investors.clr.com/phoenix.zhtml?TEXT=aHR0cDovL2FwaS50ZW5rd2l6YXJkLmNvbS9maWxpbmcueG1sP2lwYWdlPTExNDg3MjI2JkRTRVE9MSZTRVE9MiZTUURFU0M9U0VDVElPTl9QQUdFJmV4cD0mc3Vic2lkPTU3&c=197380&p=irol-SECText',4,27,50.022,1,71.71,6,17,5,261,36,1,"b' February22, 2013, the Compensation Committee of the Board of Directors (the Committee) of Continental Resources, Inc. (the Company) approved a cash bonus plan (the CLR Bonus Plan) that applies to certain employees of the Company, including the Companys e. The CLR Bonus Plan is designed to reward the Companys employees for achieving annual performance and strategic goals. The CLR Bonus Plan provides for the annual payment of cash bonuses, subject to the discretion of the Compensation. A description of the CLR Bonus Plan, as last updated in March of 2015, is filed as E 10.1 to the Companys Form ; for the quarter ended March31, 2015, filed with the Securities E Commission on May 6, 2015 (the Plan Description). ;On March20, 2017, the Compensation Committee approved a change to the used to set the size of the annual bonus pool (the Bonus Pool Factors) from the factors used to set the annual bonus pool in prior years. The newly approved factors include: production growth (weighted at 40%); net cash provided operating activities (weighted at 30%); proved developed finding and development cost per barrel of oil equivalent (Boe) (weighted at 15%); and reserve growth (weighted at 15%). The newly approved factors replace the following: production growth (weighted at 34%); net cash provided by operating activities (weighted at 33%); and proved developed finding and development cost per Boe (weighted at 33%). ;The Bonus Pool Factors will first apply to the bonuses for 2017 e to be paid in February 2018. The Bonus Pool Factors will remain in effect until by the Compensation Committee. ;Other than as set forth above, the Plan Description remains unchanged. The Compensation Committee retains complete to increase, decrease or leave the size of the annual bonus pool unchanged. ;2 '",clr,13,15,77.254,0.2,-0.7,y,n,y,n,n,0.0014083652,-0.0626422436,0.0003933987,-0.0759941816,-0.017815461,1797,100,5.5648302727,34.53,n,n,n,y,y,4,3,5,1,2
b'https://smallbusinesssolutions.blogs.xerox.com/author/allison-zimmerman/page/4/',2,7,57.052,2,74.032,3,4,8,262,22,4,"b' By Mobile and Cloud technologies have revolutionized the way we store and share information, opening up a whole new world of possibilities. Yet even with the convenience and cost efficiency of these technologies, traditional hard copy documents are still integral to every business and bridging that gap can create une challenges. In this post we offer SMBs simple strategies to integrate cloud and mobile workflows with e print infrastructure to boost productivity and provide simpler, smarter ways to work. By Owing to the evolving changes in the way we work, security is both a greater concern than ever before AND a greater challenge. Did you know that a whopping 90% of businesses have faced security breaches due to unsecured printing? Fortunately there is now an easy-to-use option that makes your printing not just secure, but also cost efficient. By Think you know how many printers you have? Think again. When questioned, most IT leaders incorrectly estimated the number by a whopping 70%. But with so many other things to worry about, how big an impact can a few printers make? Bigger than you think. Inefficient and out of service machines could be having a huge impact on your bottom line. In this post we cover easy steps to assessing your print environment, and give you a peak at what an assessment could do for you. By Everyone is saying that this is a new digital world, so why is your desk still covered in paper? In this post we show you 4 easy ways to get those piles off your desk with the help of Xerox ConnectKey Technology. Scan to the cloud or create editable files; create searchable PDFs; even scan from wherever you working. By An engineering firm was asked to put the 2016 Xerox ConnectKey Technology to the test to discover whether it was really the game changer it was promised to be. Find out the answer and hear their firsthand account of how the Xerox WorkCentre 7220i and @PrintByXerox App helped their office work better. Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,11,79.622,0.3,NA,n,y,n,n,n,-0.0433775408,0.0055512955,-0.0260144758,-0.0605733656,-0.012657109,2237,165,7.3759499329,60.65,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://smallbusinesssolutions.blogs.xerox.com/author/jdoyle/',0,8,56.385,0,75.157,1,8,2,262,25,0,"b""Content Marketing Manager Email LinkedIn Twitter Justin manages Content Marketing for the Channel Partner Operations group at Xerox. In addition to the content on the Small Business Solutions blog, he's responsible for the development of Insight-Led marketing content targeted to SMB customers. He's always looking for the ne trends in marketing, and looks forward to your feedback and ideas about what's ne in business and technology. By Believe it or not, the technology on today printers solves bigger problems than you might think. When you ready to upgrade, look for these 7 innovations in your ne multifunction printer to keep your work flowing. By The great deal on a desktop printer can fade quickly when you consider total cost of ownership (TCO) factors such as life e, toner costs and downtime. Find out how to calculate your true cost. By Over the last few weeks we have talked about the Xerox ConnectKey and the Xerox App Gallery. Many new features and options have been coming out to help you stay up with the fast moving business world that is increasingly moving to mobile and cloud based processes. Try them out yourself with the Xerox ConnectKey user interface simulator. By On March 10, 2016 Xerox announced the launch of 14 ConnectKey-enabled MFPs, each one equipped with ready-to-use apps to speed up paper-dependent business processes and make it easier for users to collaborate and work more effectively. But what are real life users saying? Xerox provided customers with early access and asked them what they thought. First up was a large Canadian University. Find out what they had to say. By When using the word in a business setting, you typically talking about things like your workforce or your decision making process. But documents? That probably a new one. In this post we e what an intelligent document is, and why the evolution of digital technology makes document intelligence critical to the success of your business. Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.""",xerox,1,14,80.977,0.3,NA,n,y,n,n,n,-0.0786169226,0.0252225432,-0.0219865364,-0.0625633973,-0.0172246435,2231,152,6.8130883012,62.38,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://smallbusinesssolutions.blogs.xerox.com/2015/12/01/introducing-the-xerox-wireless-print-solutions-adapter/',8,10,33.905,0,44.483,0,2,2,263,18,0,"b""The Xerox Wireless Print Solutions Adapter seamlessly connects your Xerox printer or MFP to modern mobile and desktop workflows, regardless of your office environment. And true wireless bridging means no disrupting the current capabilities you rely on, such as network printing and scanning, LAN fax, fax forward to email, and web-based print-device management. If you have no desire to upgrade your e printer or MFP, but want to integrate wireless and/or mobile printing workflows, the Wireless Print Solutions Adapter is the ideal choice. Go wireless without buying a new printer. Meet the Xerox Wireless Print Solutions Adapter Find additional information, including the product brochure and other resources, at the Wireless Print Solutions Adapter . Select list(s): May 09, 2012 Aug 02, 2012 Jun 28, 2013 Mar 05, 2015 Jun 17, 2016 [] to it's compact design, no longer mandatory battery and a couple of tips about find out how to print wirelessly, it important to print with regards to any place. Then Again there is also additional to it [] Sep 7, 2017 Aug 28, 2017 Jul 27, 2017 Jun 8, 2017 Apr 17, 2017 Feb 23, 2017 Oct 24, 2016 Oct 17, 2016 Oct 10, 2016 Jan 11, 2016 May 29, 2015 Jan 22, 2015 Oct 22, 2014 Oct 14, 2014 Oct 3, 2014 Sep 9, 2014 Jul 14, 2014 Apr 28, 2014 Feb 8, 2013 Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.""",xerox,7,8,49.334,0.3,NA,n,y,n,n,n,-0.0230179106,2.81236E-05,-0.0052141028,-0.0594058189,-0.0099328938,1564,68,4.347826087,58.66,y,n,y,n,y,NA,NA,NA,NA,NA
b'http://blogs.zebra.com/the-t51-productivity-has-never-looked-this-good',1,11,52.981,0,65.568,1,4,3,264,22,1,"b' ; November 28, 2016 at 9:10 AM ;The debate over whether to use consumer devices in retails been going on for years. ;Many customers who went consumer are moving back to rugged computers. There a number of reasons for this but the main one is TCO: for every 1% percent rise in failures TCO goes up by 23%*.;But let me ask you a question is there a device that 100% meets the wishes of users to use smartphones, and, the demands of your business to invest in something thatll last?;Let me press the case for yes.;Pictured above is our new TC51. Designed with retail in mind it looks and works like a smartphone. However, the comparisons end there. This is a device thats ready to graft from the shop floor to stock room, warehouse, delivery truck and more it will help your teams be more productive and improve customer engagement, all while being cost efficient to own.;The intuitive Android OS reduces training costs and makes it easy to use key apps and features that include a bright 5-inch HD screen, a 13MP camera, an integrated 1D/2D scanner with a long working range, and Android for work apps. The TC51 can help your teams:;To make it easier to deploy, maintain and use, The TC51s backed by our Mobility DNA software suite. This includes a range of tools to simplify application development, ease the roll out (and cost) of new software, strengthen Android so its more secure, and provide a range of ready to go apps.;Some highlights include making it easier for users to share devices by creating log-ins that take them to their apps and data, turning the screen into a virtual scan button, remotely monitoring battery performance and creating an app store where users can download an approved list of your apps.;The TC51 is also powered by a 64-bit he-core 1.8GHz processor. This ensures that its ready to run more advanced apps that may become available well into the future. And, along with all Zebra devices, it will be supported over multiple years.;Productivity has never looked so good.; Topics: ; '",zebra,2,7,75.277,0.2,-0.2,n,y,n,n,n,-0.0504302537,0.0032316305,-0.0220713854,-0.0601689129,-0.0049498203,2017,153,7.585523054,49.01,n,n,y,y,y,4,3,5,1,2
b'https://www.citrix.com/blogs/2017/04/26/get-rewarded-when-customers-purchase-citrix-essentials-on-the-azure-marketplace/',1,9,55.353,0,74.416,1,4,2,265,29,1,"b'If so, then there could be a check waiting for you!;Sound too easy? Its meant to, as we continue to ; for the value they bring to our joint customers.;Youve probably heard that customers can now go e to ; to purchase ; and ;. But did you know that every time they do, partners;In addition, eligible partners may also have the potential to earn ;.;Thats right! With this new joint offering, qualified partners are now eligible to earn money from Citri well as from Microsoft, as long as they meet the Microsoft partner requirements.;Have you influenced a customers decision to invest in Citrix Essentials in Azure? Then let us share that investment with you!;Give your customer a call within 90 days of their purchase, ask for the subscription ID, ;, and follow a few simple steps. If approved, youll be on your way to receiving your reward.;For more information on the step by step process, ;.;The catch? You must be a qualifying Citrix partner. E your business opportunities in new lucrative markets, ;In order to take advantage of the potential Microsoft Azure consumption incentive you must be a qualifying Microsoft partner. Learn more about how to ;Derrick joined the Citrix team in January 2014 and is currently WW Channel Strategy & Program Manager. In January 2015 we launched the new Citrix Solution Advisor program with Specializations making competence the cornerstone to partner value. In his current role he has overall responsibility of program structure and strategy for ;. Derrick received his MBA from UNC Chapel Hill Kenan-Flagler Business School and his undergraduate degree from the Wayne Calloway School of Business at Wake Forest University. Connect with him on Twitter ; or on ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; Recently, Brad Anderson from Microsoft joined us in Santa Clara for a live event and webcast to address a key ; Five ways ShareFile adds value to Microsoft impact of the Microsoft and Citrix partnership is undeniable with over 230,000 ;Dont worry, you can unsubscribe at anytime.; ;'",citrix,4,12,82.473,0.2,-0.25,y,n,n,n,n,0.0009745572,-0.0052082951,-0.0089810745,-0.0638064964,-0.0122239264,2128,146,6.8609022556,44.68,n,y,y,n,y,5,2,3,4,1
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229505&c=254471&p=irol-newsArticle_Print',0,9,45.603,0,64.818,0,3,2,266,25,0,"b', Jan. 24, 2014 - ; (NYSE: FTI) announced today that it has signed a three-year contract with Pemex E and Production for the manufacture and supply of surface wellheads to support its drilling and well maintenance programs in the ;. The award is e to result in appro ; in revenue to ; if all of the equipment is ordered. The agreement provides assurance that at least 40 percent of the contractual value will be ordered by Pemex during the three-year call-off period.; scope of supply includes surface wellheads and production trees, as well as installation and supervision services for Pemex\'s operations in its ; of the ;. The equipment will be supplied from ; operations in ;. ;""We appreciate the opportunity to e our support of Pemex,"" said ;, ; Vice President, Surface Technologies. ""; has historically played a significant role in Pemex\'s developments, and this new award e that relationship."";This release contains ""forward-looking statements"" as defined in the Private Securities Litigation Reform Act of 1995. The word ""estimated"" and similar e are intended to identify forward-looking statements, which are generally not historical in nature. Such forward-looking statements involve significant risks, uncertainties and assumptions that could cause actual results to differ materially from our historical e and our present e or projections. Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to successfully deliver, and Pemex\'s acceptance of, the products ordered. For additional information regarding known material factors that could cause actual results to differ from projected results, please see the Company\'s Annual Report on Form 10-K for the year ended;, as well as its other filings with the ;. The Company cautions you not to place undue reliance on any forward-looking statements, which speak only as of the date hereof. The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise. ;(Logo: ;) ;SOURCE ;News Provided by Acquire Media'",technipfmc,3,10,66.242,0.2,-0.5,y,n,n,n,n,0.0057592294,-0.0436191879,-0.0129619232,-0.065283084,-0.0223830621,2197,137,6.2357760583,20.96,n,n,y,y,y,4,3,5,2,1
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229527&c=254471&p=irol-newsArticle_Print',0,5,41.913,0,61.53,1,3,2,266,24,0,"b', ; - ; (NYSE: FTI) announced today that it has received an order from ; (NYSE: PBR, PBRA), ; national oil company, for the supply of subsea trees for its pre-salt fields, located offshore ;. The value of the award is estimated at ; and represents the call-off of the remaining value of the ;agreement announced in March of 2012. ;The order includes 49 subsea trees, tooling, and associated subsea controls. The trees are scheduled to be installed in multiple pre-salt fields for both production and injection wells. The equipment will be designed and manufactured at ; facilities in ;. ;""This is the second order for subsea trees under the contract signed in 2012,"" said ;, ; Senior Vice President, Subsea Technologies. ""; has been working with ; for more than 30 years and we are pleased to support them in the continued development of their pre-salt fields."";This release contains ""forward-looking statements"" as defined in the Private Securities Litigation Reform Act of 1995. The word ""estimated"" and similar e are intended to identify forward-looking statements, which are generally not historical in nature. Such forward-looking statements involve significant risks, uncertainties and assumptions that could cause actual results to differ materially from our historical e and our present e or projections. Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to successfully deliver, and ; acceptance of, the subsea products ordered . For additional information regarding known material factors that could cause actual results to differ from projected results, pleasesee the Company\'s Annual Report on Form 10-K for the year ended ;, as well as its other filings with the ;. The Company cautions you not to place undue reliance on any forward-looking statements, which speak only as of the date hereof. The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise.;(Logo: ;) ;SOURCE ;News Provided by Acquire Media'",technipfmc,2,7,64.42,0.2,-0.2,y,n,n,n,n,0.0071661869,-0.0454499952,-0.0175526099,-0.0576910013,-0.0157962437,2157,136,6.3050533148,21.67,n,n,y,y,y,4,3,5,2,1
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229558&c=254471&p=irol-newsArticle_Print',0,5,45.771,0,61.749,1,2,3,266,23,1,"b', ; -; (NYSE: FTI) announced today that it has received an order from ; (NYSE: ;) for the manufacture and supply of subsea equipment to support water injection in the Thunder Horse field. ;The Thunder Horse oil field is located in the ; area of the ;, 150 miles (240 kilometers) southeast of ; in appro 6,300 feet (1,920 meters) of water. ;\' scope of supply includes two ; and associated ;. In addition, the scope includes several ;, flowline and ; and umbilical termination assemblies. Deliveries are scheduled to commence in the first half of 2013.;""; is pleased to continue supporting ; as they further develop Thunder Horse,"" said ;, ;\' Senior Vice President, Subsea Technologies. ;This release contains ""forward-looking statements"" as defined in the Private Securities Litigation Reform Act of 1995. The word ""estimated"" and similar e are intended to identify forward-looking statements, which are generally not historical in nature. Such forward-looking statements involve significant risks, uncertainties and assumptions that could cause actual results to differ materially from our historical e and our present e or projections. Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to successfully manufacture and deliver, and ;\'s acceptance of, the subsea systems ordered. For additional information regarding known material factors that could cause actual results to differ from projected results,please see the Company\'s Annual Report on Form 10-K for the year ended ;, as well as its other filings with the ;. The Company cautions you not to place undue reliance on any forward-looking statements, which speak only as of the date hereof. The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise.;(Logo:;);SOURCE ;News Provided by Acquire Media'",technipfmc,1,10,64.666,0.2,-0.2,y,n,n,n,n,0.0029441029,-0.0452569894,-0.0133396931,-0.0536157085,-0.0116783875,1998,113,5.6556556557,21.36,n,n,y,y,y,4,3,5,2,1
b'https://blog.fitbit.com/are-your-workouts-hard-enough-heres-how-to-tell/',1,11,47.773,3,55.746,3,4,10,267,25,9,"b' trainer and nutritionist Harley Pasternak holds a master of science degree in E Physiology and Nutritional Sciences from the University of Toronto, and an honors degree in Kinesiology from University of Western Ontario. As a fitness and nutrition specialist, Harley has trained many celebrities, including Lady Gaga, Rihanna, Halle Berry, Katy Perry, Megan Fox, Robert Downey Jr., Ariana Grande, and Jennifer Hudson. He has appeared on MTV, VH1, E!, The Oprah Winfrey Show, Dr. Oz, THE VIEW, The Tyra Banks Show, Access Hollywood, E, Rachael Ray, Americas Ne Top Model, Good Morning America, and The Today Show. Harley has lectured around the globe. Comments am a fairly well controlled Type 1 diabetic. I have lost 84lbs over the last 2 years. Slow and steady. I walk at least 12,000 steps daily and 5 days a week I go to a fairly hard core boot camp. The last few months, my left calf aches. I have I would est. a very low fat percentage on my calves. It is a dull ache. It goes from behind my knee on down. I havent injured it. Any ideas?;Lost 45 lbs. in roughly 3 months with the FitBit program. The most important thing for me was the meal section with FitBit. Being able to plan my meals better, low-fat more nutrition helped with my weight loss. When I started with running, my speed on the treadmill was 4.7 mph. now I go at 7 mph. and sprint to 8,9 mph. My speed has increased and so has the longevity. The main goal now is to continue to work on core strength. I was 205 lbs. now down to and maintaining 160 lbs. running about 8% body fat. trying to always increase lean mass.; ; ; Please note: Comments are moderated and may not appear immediately after submission. ;Your email address will not be published. Required fields are marked ; ; ; ; your success story with Fitbit. '",fitbit,3,15,61.641,0.3,-0.5,n,n,y,n,n,-0.0345355371,-0.0295003332,0.0009948603,-0.049956342,-0.0041466774,1791,122,6.8118369626,73.68,n,y,n,y,y,4,3,5,1,2
