sents,LEAD,HYBRID,INCONS,INCONS_NEG,POL,CTR
"301 comments says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says Get seasonal recipes, cooking tips, product highlights and coupons delivered to your inbox!",0,1,1,1,1,1
 (NYSE:UA) today announced that Chief Operating Officer and Chief Financial Officer Brad Dickerson will be stepping down to pursue another professional opportunity outside of the athletic performance industry.,1,0,0,0,0,0
"Each is recognized for her outstanding leadership, vision and unique role in driving channel growth and innovation.",1,0,0,0,0,0
"37 comments says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says Get seasonal recipes, cooking tips, product highlights and coupons delivered to your inbox!",0,1,1,1,1,0
"BALTIMORE, April 14, 2006 - After nearly a decade of providing technically advanced products engineered with its e fabric construction, supreme moisture management, and proven innovation, Under Armour (NASDAQ: UARM) today revealed its highly anticipated cleated footwear line.",1,0,0,0,0,0
"Hue (shown here) has been part of Fran for 19 years, and in the early years it was just Fran and Hue tying the ribbons on each box.",0,1,1,1,1,1
The media and all participants will be in a listen-only mode.,0,0,0,0,0,1
That why I grateful for seasonal citrus.,1,0,0,0,0,0
"The combination of Wi-Fi and Bluetooth Smart technology gives insight and visibility to a shoppers journey in the store while eliminating the need for retailers to deploy, integrate and manage two separate technologies.",0,1,1,1,1,1
"For the best e, we advise using Google Chrome.",1,1,0,0,1,1
But that is about to .,1,0,0,0,0,0
"New SMB devices from Xerox are optimal for small office environments and enable Wi-Fi connectivity, fast print speeds and more.",0,1,0,0,0,0
"For all Psion press releases prior to Oct. 1, 2012, click here.",1,0,0,0,0,0
" By Elizabeth Leader Smith, November 30, 2012 | It may be the most wonderfully delicious time of the year that how the song goes, right?",1,0,0,0,0,0
"Whether it dealing with connectivity problems, slow print speeds, poor image quality or complicated set-up, before you know it, three people lend a hand and work comes to a grinding halt.",1,0,0,0,1,0
";Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The ""Click-Clack"" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",0,1,0,0,0,0
"its founding more than 100 years ago, Xerox has been a company built upon innovation, said , recently named CTO of Xerox.",0,1,1,1,1,1
"And that couldn be more true when it comes to our most recent Local Producer Loan recipient, .",1,0,0,0,0,0
Some Orange Honey Butter should do the trick.,0,1,1,1,1,1
"; ;Through OSM, Psion shares tools and components with e service providers, partner businesses and customers to integrate e ideas and approaches.",0,1,0,0,1,1
"Our clients include Volkswagen, SNCF, RWE nPower, E.ON, BMW, Goodyear, Copenhagen Airports, BNSF and many others.",0,0,1,1,0,0
"Built on the industry\'s only ASIC-class architecture, the mid-range Kintex UltraScale devices provide optimal price/performance/watt for a broad set of applications that include 100G OTN, packet processing and traffic management, 8X8 Mi Mode LTE and WCDMA Radio, 8K/4K displays, Intelligence Surveillance and Reconnaissance (ISR), Data Center and more.",1,1,0,0,1,1
"Finally, interest rates and on-going fees, subject to a pricing grid, are better than those under the prior credit facility.",0,0,1,1,0,0
"The Zebra implementation has enabled the delivery of high-speed Wi-Fi services, offering superior performance as well as seamlessness, speed and security at minimal cost.",0,0,0,0,0,1
"35 comments says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says Get seasonal recipes, cooking tips, product highlights and coupons delivered to your inbox!",0,1,1,1,1,1
Summer dishes ranging from salads to burgers are even more tasty and nutritious when topped with a lesser-known vegetable: fresh sprouts.,1,0,0,0,0,0
isn just a classic local product.,1,0,0,0,0,0
;It is the least we can do.,0,1,0,0,0,1
";May 16, 2016;, ; / - Xilinx, Inc. (Nasdaq: XLNX) today announced that its Board of Directors has authorized the repurchase of up to an aggregate ; of the Company\'s debt and equity securities.",1,0,0,0,1,0
";Logo- ; ;""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"" said ;, Xilinx President and Chief E Officer.",0,0,0,0,0,1
"Also receiving a top DM Award was software developer Office Gemini, winning 'Workgroup Imaging Product of the Year' for its Dokmee data capture software, which is bundled with the DocuMate 4799.",1,1,1,1,1,1
Team best result in 2014 2nd place of Rob Huff on the 8th stage of the championship in Argentina.,0,1,1,1,1,0
