X.AUTHID,resents
b'http://searsholdings.com/press-releases/pr/1449',"['""The key to a pleasant summer is a pre-season tune-up,"" said Georgeann Georges, vice president/general manager of Sears In-Home Product Repair Services.', ""Every heating and cooling system Sears sells is covered by a full one-year written limited warranty on installation with manufacturer's warranties on the products.""]"
b'https://www.citrix.com/blogs/2017/08/03/security-lessons-from-the-field/',"['; Authentication is one of the most common attack vectors for any IT system, yet many enterprises dont go beyond implementing basic password comple requirements.', 'This takes only a small effort to configure, and can prevent one of the most basic authentication attacks, Brute Force.', 'Theres still time, and help ; On 18th May 2018, the General Data Protection Regulation (GDPR) will come into force and affect the way that personal ; Recently, Brad Anderson from Microsoft joined us in Santa Clara for a live event and webcast to address a key ;Dont worry, you can unsubscribe at anytime.']"
b'https://www.xilinx.com/news/press/2014/xilinx-first-to-move-20nm-fpgas-into-volume-production.html',"['Customers can benefit from an estimated one year time to market advantage relative to its competition.', 'Kintex devices established the new mid-range with best price/performance at the lowest power in 28 nm, and offer the highest DSP count available at 20 nm.']"
b'http://newsroom.lufthansagroup.com/english/more/innovation-technology/press-releases',"['; There is no doubt that digitalization has changed the way we live.', '; The second edition of the Telekom Fashion Fusion competition is ready to go New this year: an e challenge jointly with the Lufthansa FlyingLab Premium partners fostering talent in the.', '; A new measurement method makes turbulence forecasts more reliable and flying more pleasant for both crews and passengers .']"
b'https://connect.blogs.xerox.com/2015/03/04/9-insights-to-transform-your-organization/',"['Here are nine insights offered from speakers and panelists: and CEO of Xerox, addressing the modern economy insatiable desire for more and the related need for less (regulation, data vulnerability, disconnectedness.', 'Benjamin DeVries Document Solutions Hi Benjamin, Thank you for the kind words!']"
b'https://digitalprinting.blogs.xerox.com/category/applications/direct-mail/page/3/',"['Whether you were struggling to Written By Bill Michael Analyst Corporation You know them: hearing, sight, touch, smell, taste.']"
b'https://blog.fitbit.com/are-you-stressing-out-your-heart-heres-how-to-counter-it/',"['She is a relationship columnist for Yahoo, and author of The Love Gap (January 2018, Grand Central Life & Style), a science-backed guide for modern women navigating todays complicated dating landscape.', 'Are u doomed for heart failure?', ';Is there any natural vitamin that u can take 4 stress and an?', 'Thanks;Can this kind of behavior lead to high blood pressure?', 'Need more on how to handle stress.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/',"['(1);Are you tired of those pesky jagged diagonal lines and unsmooth curves in AutoCAD?', 'But, dont worry, we make it easy for you to make the adjustment.', 'Get even better graphics by setting LINEFADING to 1 to automatically fade geometry as you zoom in, then control the amount of fading with LINEFADINGLEVEL.', ';Running into a problem?']"
b'http://searsholdings.com/press-releases/pr/1772',"['We\'re including the online component because we want as many consumers as possible across the country to be able to participate,"" said Maura O\'Hara, vice president, marketing, for Sears HomeCentral.']"
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603',"['For each pre-order, customers will receive a limited edition set of ""dog tags"" imprinted with ""Click-Clack,"" the tagline the company has coined to announce its debut into cleats.', ""The brand's moisture-wicking synthetic fabrications are engineered in many different designs and styles for wear in nearly every climate to provide a performance alternative to traditional natural fiber products."", ""The Company's products are worn by professional football, baseball, and soccer players, as well as athletes in major collegiate and Olympic sports.""]"
b'http://blogs.zebra.com/big-data-and-the-retail-industry',"[' ; November 14, 2016 at 7:00 AM ;Theres no doubt about it, the world of retail has evolved.', ';Id never really considered it before, until one day, I was happily making my way around the supermarket, and it hit me!', 'The influences were there, hiding in plain sight, yet I, like most, had walked by them, wilfully unaware of the data working behind the scenes, driving us to spend.', ';I continued my journey into the belly of the retail beast, and everywhere I looked, I could see evidence of big datas influence.', 'Ill walk around as ads customised to my personal interests attempt to grab my attention probably popping up on my phone or a nearby screen.', 'All based on the personal data the company holds on me and my humble shop.']"
b'https://digitalprinting.blogs.xerox.com/tag/social-media/page/3/',"[' Have you noticed how print has always been under threat?', 'A recent Forbes article forecast the 7 marketing trends that would dominate 2014.', 'Some people would argue that it pro.', 'In other words, getting the right message to the right person at the right time determines the effectiveness.', 'Most readers of this blog have some connection with the print industry and if you are reading from a vantage point in sales, you probably e rejection before.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229901&c=254471&p=irol-newsArticle',"['The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.']"
b'http://searsholdings.com/press-releases/pr/1973',"['For nearly 50 years, the DieHard brand has been equally fanatical about its products, providing durability and the highest performance to power our customers\' lives, even under the toughest of conditions.""', ""Featuring a revolutionary tough, thin-walled case of translucent polypropylene plastic, which was 50 percent thinner than conventional black rubber-type battery enclosures, the design's e room meant bigger plates, more acid and e starting power."", 'During , not a single failure was reported in over 26,000 starts in temperatures ranging from sub-zero to more than 100 degrees, hence the name ""DieHard.""']"
b'https://www.caesars.com/planet-hollywood/restaurants/pin-up-pizza?icml=lasvegasblog_CNW_Restaurants_PHV',[';TOTAL REWARDS;Caesars welcomes those that are of legal casino gambling age to our website.;.']
b'https://www.citrix.com/blogs/2016/04/19/growth-spurt-is-just-one-benefit-of-partners-citrix-centric-strategy/',"['; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; Recently, Brad Anderson from Microsoft joined us in Santa Clara for a live event and webcast to address a key ; Five ways ShareFile adds value to Microsoft impact of the Microsoft and Citrix partnership is undeniable with over 230,000 ;Dont worry, you can unsubscribe at anytime.']"
b'http://searsholdings.com/press-releases/pr/1760',['Mangan and the e at Sears HomeCentral say a smart first step for homeowners is to tune-up their mowers before the lawn season starts to help prevent premature mower failure.']
b'http://investors.citrix.com/releasedetail.cfm?ReleaseID=591671',"[""Those involve a number of factors that could cause actual results differ materially, including risks associated with revenue growth recognition of revenue, products, their development and, product demand and pipeline, economic and competitive, the Company's key strategic relationships, acquisition and integration risks as well as other risks detailed in the's filings with the Securities and E Commission.""]"
b'https://www.citrix.com/blogs/2017/05/16/unified-gateway-single-sign-on-to-vdi-web-enterprise-saas-applications/',[]
b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html',[]
b'https://digitalprinting.blogs.xerox.com/tag/xerox/page/3/',"['According to a Wall Street Journal article, the death of printed books may have been e. While e-book initial popularity was helped by early adopters transitioning to the medium in a concentrated period, further converts may prove harder to come by.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle_Print',"['The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.']"
b'http://newsroom.lufthansagroup.com/english/news/all',"['; There is no doubt that digitalization has changed the way we live.', '; Dr. Carsten Bhle of Lufthansa Industry Solutions e blockchains and bitcoins While several months ago, you could lean back with superficial knowledge, if at all, and wait for technological.', ';of;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;ID:;ID:; (All Fields Required) ;You must complete additional steps or remove assets to resume downloading.']"
b'https://blog.fitbit.com/rocco-dispirito-training-holiday-eating-staying-active-with-fitbit/',"['Combine that with 30 minutes of physical e and 10,000 steps or more a day, youre bound to see results.', 'I endured six hours of pure pain and I loved every bit of it!', ';Its so easy to eat mindlessly, grab handfuls of junk and just let the calories pile up.', 'Its an essential tool in my weight loss coaching.', 'It helps my clients be more active and they feel proud when they can share the amazing goals theyve hit.', 'Ive seen firsthand how tracking their fitness has contributed to their weight loss successes.', ';As for me, I wear a Fitbit every day and there is rarely a day where youll see me without mine.', '; Comments ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key',"['Meeting this demand for convenience is crucial to your business success, but it brings about challenges, too.', ';One of these challenges is understanding current-day supply and demand.', 'In a 2013 Pierhouse survey of 250 consumers, 91% (the number one reason) admitted that they would leave a store if they couldnt find what they were looking for.', 'Although bricks and mortar stores worry that e-retailers and showrooming where customers try things on in store and then buy online will take over, the truth is that there are customers out there, in physical stores, with their wallet open and have time to spend buying what they really want.', ';Another challenge is the monitoring of customer behaviour.', ';What are the difficulties that you face when bowing down to your customers?']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print',[]
b'http://www.mastec.com/press-release/1799/1/MasTec-Announces-Significantly-Expanded-Bank-Credit-Facility.aspx',[]
b'http://www.wholefoodsmarket.com/blog/whole-story/what-halal-about',"['Since it tops delicious couscous, no drop is wasted.']"
b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html',[]
b'https://www.xilinx.com/news/press/2014/xilinx-wins-2014-edn-china-innovation-awards.html',"['These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration.']"
b'http://blogs.zebra.com/blog/bid/59489/5-Hot-Topics-in-Retail-Technology-2-Apple-s-iPad',[]
b'http://pressreleases.davita.com/2013-11-25-DaVita-HealthCare-Partners-Inc-Comments-on-the-Final-CMS-ESRD-Rates-and-Provides-Initial-2014-Operating-Income-Guidance',"['-()-Nov. 25, 2013- (NYSE: DVA) today commented on the final for 2014 and announced initial 2014 operating income guidance.', 'Given the issuance of the final CMS rule, the company is now in a position to provide initial 2014 guidance and e 2014 enterprise operating income to be in a range of .', 'The primary reasons for a likely year-on-year decline in operating income are e increases, commercial rate and mix pressures, and health care e dynamics.', 'Investors who are unable to listen live will be able to access the presentation and an audio replay via our web site at .']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229814&c=254471&p=irol-newsArticle_Print',"['The well intervention activities will be conducted from two Island Offshore vessels, the Island Frontier and the Island Wellserver.']"
b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/',"[';For a look at the other case studies, please visit ;.', 'While I am no e in the regulations that surround this, there is a requirement to provide inmates access to legal documents and educational classes.', 'Each prison managed their own law library with hardbound books that needed to be updated on an annual basis.', ';Feel free to contact me or leave a comment below if you have any questions.', 'Additionally, if youre interested in a case study focused on your specific government vertical, please leave a comment and we can add it to the list!']"
b'https://www.xilinx.com/news/press/2014/xilinx-expands-20-nm-kintex-ultrascale-portfolio-for-the-most-demanding-data-center-acceleration-video-and-signal-processing-applications.html',"['Kintex devices established the new mid-range with best price/performance at the lowest power in 28 nm, and offer the highest DSP count available at 20 nm.', 'These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229904&c=254471&p=irol-newsArticle_Print',"[', ; - ; (NYSE: FTI) announced today that it has given notice to e its purchase option for the remaining 55% of outstanding shares of ; (""Schilling"").', 'The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.']"
b'https://www.xilinx.com/news/press/2016/xilinx-board-of-directors-increases-repurchase-authorization-by-1-billion.html',"["";May 16, 2016;, ; / - Xilinx, Inc. (Nasdaq: XLNX) today announced that its Board of Directors has authorized the repurchase of up to an aggregate ; of the Company's debt and equity securities."", 'Actual events and results may differ materially from those in the forward-looking statements and are subject to risks and uncertainties including customer acceptance of our new products, current global economic conditions, the health of our customers and the end markets in which they participate, our ability to forecast end customer demand, a high dependence on turns business, our ability to continue to generate healthy operating cash flow, and other risk factors listed in our most recent Forms 10-Q and 10-K. ;Xilinx is the leading provider of All Programmable FPGAs, SoCs, MPSoCs, and 3D ICs.']"
b'https://www.citrix.com/blogs/2017/08/24/meet-security-compliance-and-be-scalable-with-netscaler-fips-sdx/',"[';For the administrator, deploying the NetScaler FIPS SDX may appear to be a challenge in itself but I can assure you that it is not as difficult as it seems.']"
b'http://blog.searsholdings.com/inside-shc/what-makes-your-dad-special/',"['My dad always told me, become like the people you surround yourself with, so surround yourself with good people.', 'I remember that he walked me over to the Sears Tower to make sure that I didn get lost getting to my first day of work at Sears.', 'He retired after 31 years, reaching the highest enlisted rank of Chief Master Sergeant.', 'The picture to the left is my dad the Korean war and me on the right as a young Army Captain.']"
b'https://www.caesars.com/rio-las-vegas/restaurants/royal-india-bistro?icml=lasvegasblog_CNW_Restaurants_RLV',[]
b'https://www.citrix.com/blogs/2016/12/14/why-citrix-is-the-choice-for-healthcare/',"['However, achieving this will be a tremendous challenge.', 'All applications run much, much quicker and I can quickly log in to the terminal closest to the patient I am treating.']"
b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/',"['Less than 12 days to check off those holiday wish lists, and the retail workforce is feeling the crunch.']"
b'https://www.rosneft.com/press/releases/item/153647/',[]
b'http://investors.citrix.com/releasedetail.cfm?ReleaseID=591674',[]
b'https://digitalprinting.blogs.xerox.com/2011/08/23/my-best-friend-is-the-man-wholl-get-me-a-book-i-aint-read/',"['Lincoln quote might be something like this, things I want to know are all around on numerous web pages, in books, in blogs and in the emails I receive every day.', 'There no need to panic.', 'Don worry about all of the blog posts, web pages and emails that you read.']"
b'http://newsroom.lufthansagroup.com/english/news/all/dimensions-of-digitization/s/0afe008d-0c7a-4f66-b97d-1e26617d5250',"[';04-AUG-2017;There is no doubt that digitalization has changed the way we live.', ';(3);(2);(1);Of marriage proposals and shitstorms;Tracking down aircraft;Pinterest is female;of;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;ID:;ID:; (All Fields Required) ;You must complete additional steps or remove assets to resume downloading.']"
b'https://smallbusinesssolutions.blogs.xerox.com/2015/01/22/growing-your-business-in-2015-how-to-tell-whether-youre-setting-the-right-goals/',"['It one of the most commonly named goals among small business owners.', 'When you talk about growing your small business, what is your vision?', 'Put it down in writing to serve as a reminder as well as to reinforce your commitment to succeed.']"
b'https://digitalprinting.blogs.xerox.com/category/business-objectives/grow-your-business-business-objectives/page/5/',"[' Do you agree with the statement: Any technology that you can afford and build into your value proposition is an opportunity; any that you can will be a threat?', 'Does your company have a solution that can provide what brand owners demand SKUs proliferation, faster service, no minimum quantity requirement, target marketing to specific regions and demographics, etc?', 'Printing on heavier stocks and synthetics has given customers more choices for restaurant menus and collateral.', 'So relationship sellers will struggle to control a solid sales pipeline.']"
b'http://blog.searsholdings.com/leadership-viewpoint/kmart-pharmacy-engaged-with-members-the-community/',"['We are making personal calls to our members to make sure they don forget to pick up their prescriptions and making sure all our chronic medication patients are enrolled in our auto-fill program so their prescriptions are ready on time.', 'We also heavily invest in acquiring new patients with in-store conversion opportunities as well as through more integrated and targeted initiatives to offer our products and services.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle',"[""Such risks and uncertainties include, but are not limited to, the Company's ability to enter into additional projects with Woodside; or the Company's ability to successfully manufacture and deliver, and Woodside's acceptance of, the subsea systems ordered.""]"
b'https://blog.fitbit.com/fitbit-flex-2-update/',"['Low battery: If a single red light flashes after your Flex 2 displays your goal progress, it means your device is at 20% battery life.', '; low battery: If all features appear to be disabled, tap your Flex 2 twice.', 'If a red light flashes, your battery has been drained.', 'My display shows the proper time I fell asleep but the calculation of the hours is way off!', 'For six years I had been taking a Statin drug and could never figure out why I was in such pain.', 'After being on five years of serious pain medication and many many doctors appointments and physio, massage, chiropractic appointments I finally saw a natural path and got off the Statin drugs in August.', ';We love hearing stories like this.', ';After resetting my Fitbit after 90 days it is constantly needing reset to track steps I was wondering if anyone was having problem.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://connect.blogs.xerox.com/2017/08/02/5-lessons-from-my-internship/',"['My manager calls these to my time because they enrich my summer e. I never would have had these opportunities if I hadn stuck my neck out and said , this is really cool.', 'That how I got a great e and a good challenge from my internship at Xerox.']"
b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink',"['Because any wireless network thats more than three years old is probably not up to the job of meeting todays demand for connectivity.', 'And very often, if youre worried about picking the right wireless solution for the future, its worth partnering with a provider that understands the past, and why the technology is evolving in the way that it is.', ';Similarly, the fle and ease of management thats needed to accommodate constantly changing patterns of demand and to maintain security has to be designed into the core of the technology.']"
b'http://newsroom.lufthansagroup.com/english/more/innovation-technology/dimensions-of-digitization/s/0afe008d-0c7a-4f66-b97d-1e26617d5250',"[';04-AUG-2017;There is no doubt that digitalization has changed the way we live.', 'There are a number of well-known e: UBER, for instance, is currently revolutionizing the ta industry around the world, and AirBnB is tapping the demand of the market for hotel stays.']"
b'https://www.news.xerox.com/news/Xerox-DocuMate-4799-Scanner-Wins-Product-of-the-Year-DM-Award',[]
b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies',"[';To learn how the IoT is impacting the manufacturing industry, I spoke with Jim Hilton, Director of Global Solutions Marketing at Zebra Technologies.', 'In other words, the sensor in the asset essentially tells the maintenance department: you should take a look at this because the vitals are not looking the way theyre supposed to.', 'And, by the way, if you ignore it, in about 3 weeks, the machine is going to stop working completely.', 'And as Hilton emphasized, theres nothing worse for a production floor than unplanned downtime.', 'IoT has taken what was just simple automation and made it actionable.', '; You need both: the ability to capture and interpret data.']"
b'https://enterprisematters.blogs.xerox.com/2016/09/07/trusts-seek-control-of-back-office-to-save-nhs-5bn-a-year-by-2020/',[]
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle',"['The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.']"
b'http://newsroom.lufthansagroup.com/english/more/innovation-technology/locating-turbulence/s/006e01b2-0895-4b68-bb16-bb8e04867f65',"['Green dots indicate minor vertical air movements, while yellow or orange dots mean turbulence.', ';Sometimes turbulence literally comes out of a clear blue sky.', 'Model forecasts will show turbulence on the navigation map in the cockpit.', 'The EDR identifies how the energy in the atmosphere is distributed, regardless of the size, weight and speed of the aircraft.', 'This will lay the foundations for a system that predicts turbulence for the airlines in the Lufthansa Group.', ';(4);Dimensions of Digitization;BoardConnect by Lufthansa Systems;A Shark Takes to the Skies;of;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;ID:;ID:; (All Fields Required) ;You must complete additional steps or remove assets to resume downloading.']"
b'https://connect.blogs.xerox.com/2016/03/10/5-essentials-for-the-office-of-the-future/',"['And, all of this must be done with minimal intervention from IT as these professionals can only assist so many people at once.', 'via @alevit http:/ctt.ec/f6OpJ+ #IT #OfficeTech When it comes to intellectual property residing in the cloud, security remains the biggest concern.', 'In order to accommodate a diverse mobile workforce, the MFPs are designed with an intuitive user display with ready-to-use MFP applications right on the interface.']"
b'https://www.lufthansagroup.com/en/responsibility/corporate-citizenship/social-commitment.html',[]
b'http://newsroom.lufthansagroup.com/english/more/innovation-technology/press-releases/dimensions-of-digitization/s/0afe008d-0c7a-4f66-b97d-1e26617d5250',"[';04-AUG-2017;There is no doubt that digitalization has changed the way we live.', 'There are a number of well-known e: UBER, for instance, is currently revolutionizing the ta industry around the world, and AirBnB is tapping the demand of the market for hotel stays.']"
b'https://connect.blogs.xerox.com/2015/05/15/the-brand-that-transformed-an-industry/',"['organizations need to learn how to capture and then focus on how they are making their customers feel.', 'that feeling needs to become consistent.', 'Businesses that strike that balance can transform an industry.', 'We are in times of revolution and businesses that don adapt, won survive very long.']"
b'http://www.wholefoodsmarket.com/blog/whole-story/local-producer-epicurean-butter',"[' By Heather Kennedy, November 2, 2011 | In the infamous words of Julia Child, enough butter, anything is good!', 'Is your steak feeling a little lonely?', 'And if your baguette seems a bit boring, Epicurean award-winning Roasted Garlic Herb Butter will surely give it some sass.']"
b'http://blogs.zebra.com/building-relationships-through-data-connectivity',"[';Firstly, lets identify the challenge.', 'We as shoppers are now e fickle, driven of course by price but equally by convenience and service.', 'The usual approach is a loyalty scheme rewarding customers for spending and for returning.', 'But, retailers cant fight this trend.']"
b'http://newsroom.lufthansagroup.com/english/more/innovation-technology/press-releases/locating-turbulence/s/006e01b2-0895-4b68-bb16-bb8e04867f65',"['Green dots indicate minor vertical air movements, while yellow or orange dots mean turbulence.', ';Sometimes turbulence literally comes out of a clear blue sky.', 'Model forecasts will show turbulence on the navigation map in the cockpit.', 'The EDR identifies how the energy in the atmosphere is distributed, regardless of the size, weight and speed of the aircraft.', 'This will lay the foundations for a system that predicts turbulence for the airlines in the Lufthansa Group.', ';(4);Dimensions of Digitization;Aviatar: Lufthansa Develops Digital Twin;Telekom and Lufthansa cooperate for Fashion Fusion;of;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;ID:;ID:; (All Fields Required) ;You must complete additional steps or remove assets to resume downloading.']"
b'http://blogs.zebra.com/amazon-dash-fad-or-future',"['Need Andrex toilet roll?', 'A frictionless shopping e is simple, works without difficulty, and prioritises ease of use above all else.', 'I know there have been many instances where Ive been unable to pick up my favourite brands, despite going out of my way to collect them.', 'That moment you reach the aisle, look up and find an ominous gap where your favourite coffee should be is particularly disheartening.', 'The opportunity to avoid such incessant disappointment is most welcome!', 'While this is perhaps a little complicated for the average shopper right now, its a sign of positive intent from the UKs largest grocery retailer.', 'The ability to reactively adapt to these situations really will fundamentally change the retail e, from top to bottom.', ';Theres no doubt about it, technology throughout retail has developed at an incredible pace and has yielded some truly remarkable breakthroughs.', 'In fact, in the time its taken me to write this closing sentence, Ive effortlessly re-ordered my toilet roll, coffee and shaving cream.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229880&c=254471&p=irol-newsArticle_Print',"['The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.']"
b'https://connect.blogs.xerox.com/2014/12/22/the-art-of-the-first-impression/',"['If not for several women who found this hysterical, my Xerox career would have been brief.', 'You will shoot yourself in the foot if you take the not going to act like these country bumpkins approach.', 'You save yourself a lot of embarrassment and make better impressions.', 'Certainly, you don want to be phony, but pouring on the can be overwhelming.', 'I like to joke around with customers, and it has made for great relations, but first I have to earn the right.', 'You being sent to a customer who has hit the ceiling and is threatening to cancel.', 'It human nature to doubt the sincerity of a stranger.', 'Don cement that doubt by breaking early promises, even for simple matters.', 'So true the words of wisdom and e. Jul 22, 2014 Aug 18, 2014 Sep 05, 2014 Select list(s): Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation.']"
b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/',"['personal challenge is responding to everything, Dazo continued.']"
b'http://newsroom.lufthansagroup.com/english/press-releases/locating-turbulence/s/006e01b2-0895-4b68-bb16-bb8e04867f65',"['Green dots indicate minor vertical air movements, while yellow or orange dots mean turbulence.', ';Sometimes turbulence literally comes out of a clear blue sky.', 'Model forecasts will show turbulence on the navigation map in the cockpit.', 'The EDR identifies how the energy in the atmosphere is distributed, regardless of the size, weight and speed of the aircraft.', 'This will lay the foundations for a system that predicts turbulence for the airlines in the Lufthansa Group.', ';(4);Lufthansa promotes German-Chinese cultural e.5 million passengers flew with the Lufthansa Group Airlines in August;Star Alliance launches Connection Service at Chicago OHare;of;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;MORE INFO;DOWNLOAD;Media Cart;MORE INFO;DOWNLOAD;Media Cart;SHARE;ID:;ID:; (All Fields Required) ;You must complete additional steps or remove assets to resume downloading.']"
b'https://www.news.xerox.com/news/Xerox-WorkCentre-3335-3345-Multifunction-Printers-and-Phaser-3330',"['In a small office, productivity drain can begin with a piece of office equipment or a process that no one quite knows how to manage.', 'Whether it dealing with connectivity problems, slow print speeds, poor image quality or complicated set-up, before you know it, three people lend a hand and work comes to a grinding halt.', 'To help small and medium-size businesses avoid the loss, Xerox today introduced the (MFPs) and , a set of new black-and-white printers that anyone even the least tech-savvy person in the office can operate.', 'The U.S. Department of Labor just reported dwindling business productivity numbers for the third quarter in a row, and it clear some of the hardest hit are small businesses that need affordable, reliable tools that offer easier ways to work.', 'Xerox designed the WorkCentre 3335/3345 MFPs and the Phaser 3330 with a host of powerful productivity tools to help offices uncover easier and simplified ways to work including: devices are available immediately worldwide.']"
b'http://searsholdings.com/press-releases/pr/531',"['These combined efforts and more have lead to a three percent decline in the premature birth rate, yet more than 1,400 babies are born prematurely every day(i), proving that there is still much work to be done.', 'Giving back to our customers is one of our greatest obligations at Kmart, and knowing that, in turn, we are helping to give a baby a better start is a tremendous feeling.""', ""This year also marks the retailer's 19th year as a national sponsor for the March for Babies, one of the nation's oldest, most successful and most imitated charitable walking event."", 'The March of Dimes is the leading nonprofit organization for pregnancy and baby health.']"
b'http://searsholdings.com/press-releases/pr/1997',"[', - part of its long-standing commitment to supporting veterans and military families, Sears is bringing back its Heroes at Home program for the holiday season to immediately assist low-income veterans who are in urgent need of wheelchair accessibility ramps at their homes.', '""Teaming with Sears, we are investing in a long-lasting impact to ensure that our injured veterans will get the critical home and accessibility upgrades they need this holiday season.""', 'For the sneak peek at the ad, which will be released in early November, members can download the Sears app at .', ""Sears, Roebuck offers consumers leading proprietary brands including, Craftsman, and DieHard - among the most trusted and preferred brands in the U.S. company is the nation's largest provider of home services, with more than 14 million service and installation calls made annually.""]"
b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates',[]
b'http://investors.citrix.com/releasedetail.cfm?releaseid=649322',"['Those statements involve a number of factors that could cause actual results to differ materially, including risks associated with revenue growth and recognition of revenue, products, their development and distribution, product demand and pipeline, economic and competitive factors, the Companys key strategic relationships, acquisition and related integration risks as well as other risks detailed in the Companys filings with the Securities and E Commission.']"
b'https://blog.fitbit.com/spreading-the-fitbit-love-to-the-workplace/',"['A study from Brigham and Womens Hospital shows that the more sleep deprived a person, the worse his or her work becomes.', ';Our health initiative isnt just confined to staff.', '; Comments ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/',"['; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; Recently, Brad Anderson from Microsoft joined us in Santa Clara for a live event and webcast to address a key ; Five ways ShareFile adds value to Microsoft impact of the Microsoft and Citrix partnership is undeniable with over 230,000 ;Dont worry, you can unsubscribe at anytime.']"
b'https://enterprisematters.blogs.xerox.com/2016/11/29/the-customers-king-seven-ways-to-get-the-king-on-your-side/',"['One major challenge is the inherent differences that e between the physical and digital touch points that impact customer e and the way companies have attempted to implement corporate change.', 'We, the customers, are living in a digital age and are demanding companies do the same.', 'As technology evolves, many companies risk being left behind by relying on outdated, paper-intensive processes.']"
